Subject,Supervoxel,Habitats,Count,raw-T1,raw-T2,raw-T1-original,raw-T2-original
sub21,47,2,144,9.0,5.0,1356.0625,867.9166666666666
sub21,48,4,72,6.0,8.0,1246.5416666666667,994.0
sub21,49,2,146,6.0,5.0,1266.5890410958905,861.4041095890411
sub21,50,4,104,7.0,9.0,1287.6057692307693,1151.1538461538462
sub19,1,3,189,4.0,7.0,991.7142857142857,1548.015873015873
sub19,2,1,148,1.0,3.0,908.1148648648649,1284.2837837837837
sub19,3,2,218,7.0,3.0,1049.1834862385322,1282.967889908257
sub19,4,1,137,4.0,0.0,992.1678832116788,1007.2043795620438
sub19,5,2,168,8.0,3.0,1090.452380952381,1258.8035714285713
sub19,6,4,116,9.0,8.0,1131.6120689655172,1592.6379310344828
sub19,7,3,167,3.0,5.0,960.7425149700599,1390.7305389221558
sub19,8,1,110,1.0,0.0,916.0181818181818,1032.5363636363636
sub19,9,3,98,1.0,9.0,908.6020408163265,1662.7142857142858
sub19,10,1,191,4.0,2.0,983.2198952879581,1206.109947643979
sub19,11,4,227,7.0,6.0,1052.6872246696034,1448.0484581497797
sub19,12,2,230,5.0,4.0,1006.4521739130435,1295.013043478261
sub19,13,2,143,6.0,1.0,1033.3916083916083,1150.097902097902
sub19,14,4,142,6.0,9.0,1035.3309859154929,1756.3591549295775
sub19,15,2,154,8.0,5.0,1085.1103896103896,1421.5324675324675
sub19,16,3,127,3.0,9.0,952.6299212598425,1687.5118110236222
sub19,17,3,109,0.0,5.0,877.9908256880734,1401.2293577981652
sub19,18,3,128,1.0,7.0,907.59375,1505.953125
sub19,19,2,113,7.0,0.0,1060.7699115044247,1062.203539823009
sub19,20,2,146,7.0,2.0,1064.7123287671234,1194.664383561644
sub19,21,1,175,0.0,3.0,855.9542857142857,1266.5428571428572
sub19,22,1,213,3.0,3.0,971.9201877934272,1288.4225352112676
sub19,23,2,181,9.0,5.0,1133.4309392265193,1418.6961325966852
sub19,24,3,232,5.0,6.0,1016.6551724137931,1436.5431034482758
sub19,25,3,126,2.0,6.0,933.0,1422.2936507936508
sub19,26,4,145,8.0,9.0,1072.448275862069,1709.1862068965518
sub19,27,4,132,5.0,9.0,997.75,1724.7045454545455
sub19,28,1,214,3.0,1.0,952.9392523364486,1148.3084112149534
sub19,29,3,172,3.0,7.0,953.6686046511628,1515.8662790697674
sub19,30,2,144,6.0,0.0,1023.2083333333334,1033.7569444444443
sub19,31,2,149,9.0,4.0,1123.3221476510066,1315.3892617449665
sub19,32,1,112,3.0,0.0,955.8214285714286,1028.330357142857
sub19,33,1,213,0.0,0.0,843.5305164319249,1020.3333333333334
sub19,34,3,187,4.0,5.0,991.3529411764706,1366.8823529411766
sub19,35,1,134,2.0,4.0,938.3805970149253,1320.6567164179105
sub19,36,4,150,6.0,8.0,1023.1333333333333,1581.8
sub19,37,4,142,8.0,7.0,1084.6971830985915,1514.3239436619717
sub19,38,1,175,1.0,2.0,914.2971428571428,1170.9657142857143
sub19,39,1,165,0.0,1.0,858.8848484848485,1163.5272727272727
sub19,40,4,184,6.0,7.0,1026.0434782608695,1499.820652173913
sub19,41,2,178,8.0,4.0,1072.123595505618,1349.4606741573034
sub19,42,3,211,4.0,6.0,984.8578199052133,1460.170616113744
sub19,43,2,184,5.0,1.0,997.2608695652174,1135.9673913043478
sub19,44,2,196,6.0,2.0,1023.1530612244898,1226.9285714285713
sub19,45,4,155,9.0,7.0,1138.5806451612902,1515.8129032258064
sub19,46,4,104,9.0,9.0,1121.1442307692307,1711.701923076923
sub19,47,2,72,9.0,1.0,1112.111111111111,1145.138888888889
sub19,48,4,163,7.0,7.0,1054.0429447852762,1547.4723926380368
sub19,49,1,214,2.0,2.0,942.4719626168225,1228.943925233645
sub19,50,2,207,6.0,5.0,1031.352657004831,1363.4009661835748
sub229,1,2,25,5.0,3.0,1343.2,654.04
sub229,2,4,24,8.0,8.0,1492.8333333333333,980.8333333333334
sub229,3,1,30,2.0,0.0,1197.9,490.9
sub229,4,1,40,1.0,1.0,1162.35,560.7
sub229,5,2,30,7.0,5.0,1437.0666666666666,770.4
sub229,6,1,44,4.0,1.0,1297.9772727272727,588.5227272727273
sub229,7,1,63,0.0,0.0,1086.5079365079366,469.74603174603175
sub229,8,3,22,5.0,6.0,1352.7727272727273,830.0
sub229,9,4,17,8.0,6.0,1490.1764705882354,840.9411764705883
sub229,10,4,28,6.0,7.0,1409.2142857142858,878.8214285714286
sub229,11,4,62,9.0,9.0,1562.1451612903227,1090.3064516129032
sub229,12,1,16,5.0,0.0,1342.0625,513.5
sub229,13,1,34,2.0,1.0,1221.2941176470588,566.4411764705883
sub229,14,2,28,5.0,3.0,1370.1785714285713,694.3571428571429
sub229,15,2,33,5.0,2.0,1367.2727272727273,602.060606060606
sub229,16,4,26,9.0,8.0,1542.3076923076924,929.5384615384615
sub229,17,1,46,0.0,0.0,1142.7826086956522,476.4347826086956
sub229,18,2,25,7.0,3.0,1418.56,694.28
sub229,19,1,41,1.0,1.0,1194.8536585365853,544.170731707317
sub229,20,4,7,6.0,9.0,1412.2857142857142,1081.7142857142858
sub229,21,4,31,7.0,7.0,1458.0645161290322,881.741935483871
sub229,22,2,19,4.0,4.0,1309.3684210526317,709.9473684210526
sub229,23,2,12,7.0,1.0,1437.5833333333333,541.3333333333334
sub229,24,2,28,5.0,1.0,1328.25,563.4642857142857
sub229,25,1,46,0.0,1.0,1092.5652173913043,547.8478260869565
sub229,26,1,45,1.0,0.0,1165.2222222222222,519.4666666666667
sub229,27,2,29,6.0,3.0,1383.1379310344828,652.0689655172414
sub229,28,1,43,3.0,1.0,1278.7441860465117,560.2325581395348
sub229,29,1,27,4.0,0.0,1293.111111111111,502.3333333333333
sub229,30,4,10,7.0,8.0,1420.1,953.7
sub229,31,1,65,2.0,0.0,1237.5846153846153,530.3384615384615
sub229,32,4,24,9.0,7.0,1539.9583333333333,878.7916666666666
sub229,33,1,26,4.0,3.0,1304.9615384615386,656.5384615384615
sub229,34,1,19,1.0,2.0,1164.3684210526317,627.1052631578947
sub229,35,1,44,3.0,2.0,1273.7727272727273,624.5
sub229,36,2,28,6.0,4.0,1402.8214285714287,746.3214285714286
sub229,37,1,9,2.0,3.0,1223.7777777777778,685.1111111111111
sub229,38,2,22,6.0,5.0,1386.590909090909,794.5454545454545
sub229,39,3,15,4.0,5.0,1291.0666666666666,777.1333333333333
sub229,40,1,41,2.0,2.0,1239.6341463414635,599.219512195122
sub229,41,4,28,7.0,6.0,1428.607142857143,828.3571428571429
sub229,42,2,12,8.0,4.0,1479.25,732.1666666666666
sub229,43,1,31,4.0,2.0,1328.0645161290322,617.4193548387096
sub229,44,4,26,8.0,8.0,1479.4615384615386,926.3461538461538
sub229,45,4,15,9.0,6.0,1538.6,814.0
sub229,46,3,2,4.0,7.0,1310.5,919.0
sub229,47,4,24,9.0,8.0,1585.375,975.9583333333334
sub229,48,2,16,6.0,1.0,1388.6875,535.4375
sub229,49,4,25,8.0,9.0,1476.92,1054.56
sub229,50,2,24,5.0,4.0,1345.9583333333333,748.5416666666666
sub24,1,4,170,9.0,6.0,906.4764705882353,436.17058823529413
sub24,2,3,143,4.0,5.0,802.979020979021,411.4475524475524
sub24,3,1,142,0.0,0.0,690.943661971831,261.11971830985914
sub24,4,3,87,2.0,7.0,749.8850574712644,468.9655172413793
sub24,5,4,186,6.0,8.0,828.5591397849462,478.16129032258067
sub24,6,2,80,5.0,1.0,820.625,332.675
sub24,7,2,131,8.0,3.0,866.7480916030535,373.23664122137404
sub24,8,1,126,2.0,4.0,748.6666666666666,397.9761904761905
